sklearn.exceptions.NotFittedError: This IsolationForest instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.
2026-03-13 17:41:28 | INFO     | httpx | HTTP Request: GET http://testserver/api/gateway/status "HTTP/1.1 200 OK"
2026-03-13 17:41:29 | INFO     | backend.routers.gateway | Starting gateway...
2026-03-13 17:41:29 | INFO     | src.gateway | Starting gateway...
2026-03-13 17:41:29 | INFO     | src.ble_receiver | Starting BLEReceiver
2026-03-13 17:41:29 | INFO     | src.ble_receiver | BLEReceiver started successfully
2026-03-13 17:41:29 | INFO     | src.can_translator | CAN bus initialized: virtual
2026-03-13 17:41:29 | INFO     | src.can_translator | Starting CANTranslator (attack_mode=None)
2026-03-13 17:41:29 | INFO     | src.can_translator | CANTranslator started successfully
2026-03-13 17:41:29 | INFO     | core.metrics_engine | MetricsEngine started
2026-03-13 17:41:29 | INFO     | src.gateway | Gateway fully started
2026-03-13 17:41:29 | INFO     | backend.routers.gateway | Gateway started successfully
2026-03-13 17:41:29 | INFO     | src.ble_receiver | UDP forward starting: 127.0.0.1:5005
2026-03-13 17:41:29 | INFO     | src.ble_receiver | BLE simulation starting
2026-03-13 17:41:29 | INFO     | src.can_translator | UDP receiver listening on 127.0.0.1:5005
2026-03-13 17:41:29 | INFO     | src.can_translator | CAN process loop started
2026-03-13 17:41:29 | INFO     | core.metrics_engine | Metrics collection started (interval=5.0s)
2026-03-13 17:41:29 | INFO     | src.ble_receiver | UDP forward loop ended (sent=0, dropped=0)
2026-03-13 17:41:29 | INFO     | src.can_translator | UDP receiver loop ended
2026-03-13 17:41:29 | INFO     | httpx | HTTP Request: POST http://testserver/api/gateway/start "HTTP/1.1 200 OK"
2026-03-13 17:41:29 | INFO     | backend.routers.gateway | Stopping gateway...
2026-03-13 17:41:29 | INFO     | src.gateway | Stopping gateway...
2026-03-13 17:41:29 | INFO     | src.ble_receiver | Stopping BLEReceiver
2026-03-13 17:41:29 | INFO     | src.ble_receiver | BLEReceiver stopped (packets=0)
